alt event	gene name	gene type	event type	overlaps with	overlap gene	P val up	P val down	min p val	rank up	rank down	min rank	Q val up	Q val down	min Q val
alt_region_3340	AT2G29140	mRNA	intron_ret	None	None	1	0.004757	0.004757	11455	1375	1375	1	0.067478	0.067478
alt_region_33400	AT3G18210	mRNA	alt_3prime	None	None	0.746813	1	0.746813	9107	15386	9107	1	1	1
alt_region_33401	AT3G18380	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33402	AT3G18535	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33403	AT3G18750	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33404	AT3G18760	mRNA	alt_3prime	transposon_fragment	AT3TE27170:AT3TE27175	1	0.413125	0.413125	11455	8537	8537	1	1	1
alt_region_33405	AT3G18830	mRNA	alt_3prime	None	None	0.530975	1	0.530975	7293	15386	7293	1	1	1
alt_region_33406	AT3G18930	mRNA	alt_3prime	None	None	0.089474	1	0.089474	3365	15386	3365	0.507021	1	0.507021
alt_region_33407	AT3G18940	mRNA	alt_3prime	None	None	1	0.541611	0.541611	11455	10006	10006	1	1	1
alt_region_33408	AT3G18990	mRNA	alt_3prime	None	None	1	0.265509	0.265509	11455	6641	6641	1	0.938111	0.938111
alt_region_33409	AT3G19000	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_3341	AT2G29260	mRNA	intron_ret	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33410	AT3G19010	mRNA	alt_3prime	None	None	1	0.21074	0.21074	11455	5891	5891	1	0.832269	0.832269
alt_region_33411	AT3G19150	mRNA	alt_3prime	None	None	1	0.885473	0.885473	11455	14056	11455	1	1	1
alt_region_33412	AT3G19170	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33413	AT3G19210	mRNA	alt_3prime	None	None	1	0.243168	0.243168	11455	6353	6353	1	0.894318	0.894318
alt_region_33414	AT3G19280	mRNA	alt_3prime	None	None	0.150331	1	0.150331	4026	15386	4026	0.690804	1	0.690804
alt_region_33415	AT3G19340	mRNA	alt_3prime	None	None	0.578316	1	0.578316	7649	15386	7649	1	1	1
alt_region_33416	AT3G19490	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33417	AT3G19500	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33418	AT3G19500	mRNA	alt_3prime	None	None	0.61187	1	0.61187	7937	15386	7937	1	1	1
alt_region_33419	AT3G19500	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_3342	AT2G29280	pseudogenic_transcript	intron_ret	mRNA	AT2G29290	1	0.542312	0.542312	11455	10016	10016	1	1	1
alt_region_33420	AT3G19510	mRNA	alt_3prime	None	None	0.357491	1	0.357491	5830	15386	5830	1	1	1
alt_region_33421	AT3G19515	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33422	AT3G19515	mRNA	alt_3prime	None	None	1	0.889428	0.889428	11455	14104	11455	1	1	1
alt_region_33423	AT3G19670	mRNA	alt_3prime	None	None	0.737219	1	0.737219	9012	15386	9012	1	1	1
alt_region_33424	AT3G19670	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33425	AT3G19670	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33426	AT3G19670	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
alt_region_33427	AT3G19670	mRNA	alt_3prime	None	None	1	1	1	11455	15386	11455	1	1	1
